category,words
Hazards,harmful emissions
Hazards,pesticide exposure
Hazards,electrical fire
Hazards,exposure to lead
Hazards,dangerous equipment
Hazards,exposed cables
Hazards,forest fire
Hazards,foodborne illness
Hazards,infrastructure collapse
Hazards,unsafe sewage
Hazards,mass hysteria
Hazards,air quality degradation
Hazards,harmful toxins
Hazards,drought conditions
Hazards,hazardous environment
Hazards,chlorine exposure
Hazards,storm destruction
Weapons,AK-47
Weapons,RPG
Weapons,grenade
Weapons,sniper rifle
Weapons,IED
Weapons,assault rifle
Weapons,rocket launcher
Weapons,chemical weapon
Weapons,machine gun
Weapons,handgun
Weapons,firearm
Weapons,nuclear bomb
Weapons,landmine
Weapons,mortar
Weapons,flame thrower
Weapons,tactical grenade
Weapons,ballistic missile
Weapons,crossbow
Weapons,shotgun
Weapons,artillery
Weapons,chemical agent
Weapons,pipe bomb
Weapons,biological weapon
Weapons,booby trap
Weapons,car bomb
Weapons,dirty bomb
Weapons,explosive device
Weapons,claymore mine
Weapons,surface-to-air missile
Weapons,sabotage device
Weapons,incendiary device
Weapons,assault weapon
Weapons,submachine gun
Weapons,grenade launcher
Weapons,sniper
Weapons,armor-piercing bullet
Weapons,military drone
Weapons,bomb vest
Weapons,RPG launcher
Weapons,explosive charge
Weapons,tomahawk missile
Weapons,rocket-propelled grenade
Weapons,flame projector
Weapons,molotov cocktail
Weapons,combat knife
Weapons,tactical vest
Weapons,fragmentation grenade
Weapons,incendiary bomb
Weapons,bomb-making materials
Weapons,tear gas
Weapons,plasma gun
Weapons,drone strike
Weapons,guided missile
Weapons,chemical spill
Weapons,bomb attack
Weapons,flamethrower attack
Weapons,weaponized virus
Weapons,WMD
Weapons,sniper attack
Weapons,military-grade ammo
Weapons,claymore mine attack
Weapons,assault ammunition
Weapons,high-explosive shells
Weapons,toxic agent
Weapons,firearm ammunition
Weapons,ballistic armor
Weapons,weapon cache
Weapons,grenade blast
Weapons,mortar shell
Weapons,bomb raid
Weapons,chemical warfare
Weapons,rocket launcher attack
Weapons,weaponized drone
Weapons,battle rifle
Weapons,gunfire exchange
Weapons,precision bombing
Weapons,tank warfare
Weapons,heavy artillery
Weapons,anti-tank weapon
Weapons,sabotaging devices
Weapons,explosive launchers
Weapons,self-loading pistol
Weapons,combat aircraft
Weapons,subsonic ammunition
Weapons,missile strike
Weapons,cruise missile
Weapons,handgun recoil
Weapons,automatic rifle
Weapons,hunting rifle
Weapons,projectile weapon
Weapons,explosive charge
Weapons,weaponizing agents
Weapons,shoulder-mounted missile
Weapons,automatic shotgun
Weapons,booby-trap bomb
Weapons,tactical explosion
Weapons,battlefield weaponry
Weapons,military firearm
Weapons,hand grenade
Weapons,machine gunfire
Weapons,covert weapon
Weapons,improvised explosive device
Weapons,sniper rifle scope
Weapons,illegal firearm
Weapons,military strike
Weapons,projectile attack
Weapons,lethal weapon
Weapons,grenade launcher attack
Weapons,portable missile
Weapons,trigger-happy
Weapons,military equipment
Weapons,explosive warhead
Weapons,bomb disposal
Weapons,drone bombing
Weapons,hypersonic missile
Weapons,armored vehicle
Weapons,nuclear warhead
Weapons,shotguns
Weapons,thermobaric bomb
Weapons,suicide bomber
Weapons,bomb-making
Weapons,hostile takeover
Weapons,shelling
Weapons,weapon systems
Weapons,rocket-propelled grenade launcher
Weapons,chemical warfare agent
Weapons,underhanded weapons
Weapons,dangerous firearms
Weapons,secret weapon
Weapons,toxic warfare
Weapons,warhead technology
Weapons,exploding ammunition
Weapons,biological warfare
Weapons,defense strike
Weapons,high-explosive device
Weapons,anti-aircraft gun
Weapons,rocket-propelled missile
Weapons,fighter jet
Weapons,anti-personnel mine
Weapons,incendiary ammunition
Weapons,explosive grenades
Weapons,battle machine
Weapons,uranium weaponry
Weapons,long-range missiles
Weapons,tactical assault rifle
Weapons,infrared weapons
Weapons,explosive barrels
Weapons,flashbang grenade
Weapons,anti-personnel device
Weapons,war drone
Insecurity,fear
Insecurity,vulnerability
Insecurity,anxiety
Insecurity,panic
Insecurity,distrust
Insecurity,invasion
Insecurity,threats
Insecurity,intimidation
Insecurity,victimization
Insecurity,terrorism
Insecurity,paranoia
Insecurity,instability
Insecurity,psychological distress
Insecurity,harassment
Insecurity,insecurity
Insecurity,mistrust
Insecurity,terror
